Parameter	Posterior Mean	Posterior Variance	a_post	b_post
NMI01168	3.88866e-05	2.1381e-11	70.7248	1.81875e+06
NMI00204	5.09299e-06	2.70999e-12	9.57144	1.87934e+06
NMI96163	5.10786e-06	2.71473e-12	9.61065	1.88154e+06
NMI0066	2.56683e-06	1.36421e-12	4.82964	1.88156e+06
NMI9923	2.80935e-05	1.53689e-11	51.3534	1.82795e+06
NMI03263	1.04008e-06	5.52771e-13	1.95697	1.88157e+06
NMI98267	7.20351e-05	4.1117e-11	126.202	1.75196e+06
NMI04193	4.0913e-06	2.17443e-12	7.69797	1.88155e+06
NMI04208	6.12579e-06	3.25574e-12	11.5259	1.88153e+06
NMI01191	9.1806e-06	4.87937e-12	17.2734	1.88151e+06
NMI1118	9.55683e-05	5.47468e-11	166.828	1.74564e+06
NMI94202	1.04041e-06	5.5295e-13	1.95761	1.88157e+06
NMI95166	2.06078e-06	1.09652e-12	3.87301	1.87939e+06
NMI01281	2.05896e-06	1.09428e-12	3.87406	1.88156e+06
NMI0440	1.05037e-06	5.58493e-13	1.97546	1.88072e+06
NMI98243	4.07895e-05	2.21871e-11	74.9887	1.83843e+06
NMI9217	2.06385e-06	1.09821e-12	3.87854	1.87928e+06
NMI99216	3.88035e-05	2.13459e-11	70.5387	1.81784e+06
NMI0817	5.10864e-06	2.71514e-12	9.61212	1.88154e+06
NMI02144	1.04215e-06	5.54079e-13	1.96014	1.88086e+06
NMI0187	1.86887e-05	1.01557e-11	34.3914	1.84022e+06
NMI9644	7.39231e-06	3.9619e-12	13.7929	1.86585e+06
NMI0667	4.08858e-05	2.1798e-11	76.6882	1.87567e+06
NMI0879	4.40601e-06	2.34235e-12	8.28778	1.88102e+06
NMI03109	1.40446e-05	7.52852e-12	26.2005	1.86552e+06
NMI99190	1.54898e-06	8.2324e-13	2.9145	1.88156e+06
NMI95134	1.54871e-06	8.23096e-13	2.91399	1.88156e+06
NMI9334	3.05868e-06	1.62792e-12	5.74694	1.87889e+06
NMI9118	8.28626e-06	4.41491e-12	15.5523	1.87688e+06
NMI985	2.05896e-06	1.09482e-12	3.87213	1.88063e+06
NMI03249	4.60059e-06	2.44511e-12	8.6562	1.88154e+06
NMI9539	4.62193e-06	2.45904e-12	8.68722	1.87957e+06
NMI97329	3.63377e-05	2.01226e-11	65.6191	1.80581e+06
NMI9547	1.55066e-06	8.24163e-13	2.91757	1.8815e+06
NMI96161	2.56638e-06	1.36397e-12	4.8288	1.88156e+06
NMI04110	8.61919e-06	4.59101e-12	16.1817	1.87741e+06
NMI0314	3.07387e-06	1.63369e-12	5.78365	1.88155e+06
NMI94189	2.05815e-06	1.09385e-12	3.87254	1.88156e+06
NODE_93	2.10847e-05	1.14435e-11	38.8486	1.8425e+06
NODE_94	5.32938e-07	2.83701e-13	1.00113	1.87852e+06
NODE_95	1.04243e-06	5.5455e-13	1.95953	1.87977e+06
NODE_96	1.81324e-06	9.67215e-13	3.3993	1.87471e+06
NODE_97	8.67089e-05	4.92485e-11	152.663	1.76064e+06
NODE_98	8.25108e-05	4.67499e-11	145.626	1.76494e+06
NODE_99	1.04156e-06	5.53872e-13	1.95865	1.8805e+06
NODE_100	1.49189e-05	8.00772e-12	27.7949	1.86306e+06
NODE_101	1.48743e-05	8.06024e-12	27.449	1.8454e+06
NODE_102	5.10048e-05	2.81621e-11	92.3754	1.81111e+06
NODE_103	5.61791e-06	2.98581e-12	10.5703	1.88154e+06
NODE_106	2.548e-05	1.40611e-11	46.1721	1.81209e+06
NODE_107	6.85683e-06	3.64961e-12	12.8825	1.87879e+06
NODE_108	1.48199e-05	8.04026e-12	27.3161	1.84321e+06
NODE_109	2.5331e-05	1.38623e-11	46.288	1.82733e+06
NODE_110	2.56604e-06	1.36379e-12	4.82816	1.88156e+06
NODE_112	2.76692e-06	1.47233e-12	5.19981	1.87928e+06
NODE_113	1.96166e-05	1.06029e-11	36.2929	1.85011e+06
NODE_114	9.38178e-06	5.03776e-12	17.4716	1.86229e+06
NODE_116	4.12812e-06	2.24015e-12	7.60723	1.84279e+06
NODE_117	1.04862e-05	5.66833e-12	19.399	1.84996e+06
NODE_118	3.65976e-06	1.94954e-12	6.87023	1.87724e+06
NODE_119	1.48911e-05	8.03694e-12	27.5908	1.85283e+06
NODE_120	3.86951e-06	2.06522e-12	7.25013	1.87366e+06
NODE_121	1.09743e-05	5.87814e-12	20.4887	1.86697e+06
NODE_122	2.92904e-06	1.56222e-12	5.49172	1.87492e+06
NODE_123	1.01314e-05	5.40247e-12	18.9996	1.87532e+06
NODE_124	5.52321e-06	2.94524e-12	10.3577	1.8753e+06
NODE_125	1.0558e-06	5.61849e-13	1.98403	1.87916e+06
NODE_126	6.63175e-06	3.54088e-12	12.4207	1.87291e+06
NODE_127	1.04317e-06	5.54638e-13	1.96199	1.8808e+06
NODE_128	6.40165e-06	3.42503e-12	11.9652	1.86908e+06
NODE_129	2.09739e-06	1.1156e-12	3.9432	1.88005e+06
NODE_130	3.85421e-06	2.06431e-12	7.19606	1.86707e+06
NODE_131	1.3517e-05	7.19853e-12	25.3815	1.87774e+06
NODE_132	1.03054e-05	5.53573e-12	19.1846	1.86161e+06
NODE_135	5.6194e-06	2.9866e-12	10.5731	1.88154e+06
NODE_136	1.04054e-06	5.53019e-13	1.95785	1.88157e+06
NODE_137	1.96256e-05	1.05946e-11	36.3547	1.85241e+06
NODE_140	3.07499e-06	1.63428e-12	5.78576	1.88155e+06
NODE_141	1.04001e-06	5.52738e-13	1.95686	1.88157e+06
NODE_143	3.69287e-06	1.9682e-12	6.92884	1.87627e+06
NODE_144	5.1447e-06	2.74425e-12	9.64489	1.87472e+06
NODE_145	1.15036e-06	6.12919e-13	2.15906	1.87686e+06
NODE_146	6.16771e-06	3.27822e-12	11.6041	1.88142e+06
NODE_147	2.56586e-06	1.36369e-12	4.82781	1.88156e+06
NODE_148	5.87208e-07	3.12525e-13	1.10331	1.87892e+06
NODE_149	5.32121e-07	2.831e-13	1.00019	1.87963e+06
NODE_150	5.31726e-07	2.82729e-13	1.00001	1.88069e+06
NODE_151	5.33491e-07	2.83858e-13	1.00266	1.87943e+06
NODE_152	1.57937e-05	8.53738e-12	29.2174	1.84994e+06
NODE_153	3.58371e-06	1.90466e-12	6.74293	1.88155e+06
NODE_156	1.54851e-06	8.22993e-13	2.91363	1.88156e+06
NODE_157	3.58279e-06	1.90417e-12	6.7412	1.88155e+06
NODE_170	1.55123e-06	8.25283e-13	2.91574	1.87963e+06
NODE_172	5.3422e-07	2.84187e-13	1.00424	1.87982e+06
NODE_173	9.96645e-06	5.33474e-12	18.6195	1.86822e+06
NODE_174	5.51227e-06	2.93831e-12	10.341	1.876e+06
NODE_175	2.04123e-06	1.08553e-12	3.83833	1.8804e+06
NODE_176	2.2685e-06	1.2061e-12	4.2667	1.88085e+06
NODE_177	1.52752e-06	8.12981e-13	2.87006	1.87891e+06
NODE_178	5.22215e-06	2.78665e-12	9.78623	1.87399e+06
NODE_179	4.39882e-06	2.3431e-12	8.25814	1.87735e+06
NODE_180	2.03172e-06	1.08019e-12	3.82146	1.8809e+06
