Node	Beg	End
NMI96325	1018619	1021325
NMI96325	1058940	1062249
NMI96325	1085122	1085434
NMI96325	1087072	1087581
NMI96325	1088303	1088861
NMI96325	1090914	1095971
NMI96325	1097257	1098480
NMI96325	1100784	1102427
NMI96325	1103112	1105277
NMI96325	1106490	1107841
NMI96325	1108519	1108635
NMI96325	1109681	1111808
NMI96325	1141747	1142360
NMI96325	1151667	1152403
NMI96325	1157105	1158933
NMI96325	1159492	1159942
NMI96325	1224843	1225678
NMI96325	1334695	1336233
NMI96325	1336770	1336968
NMI96325	1380211	1381502
NMI96325	1383411	1383476
NMI96325	1387250	1389787
NMI96325	1420819	1423172
NMI96325	1425155	1426511
NMI96325	1428739	1429351
NMI96325	1436544	1436549
NMI00182	1436544	1436549
NMI04166	1436544	1436549
NMI04187	53524	53892
NMI0141	1119298	1120279
NMI0141	1158363	1158375
NMI0141	1436544	1436549
NMI99178	1225219	1225357
NMI99178	1226176	1226311
NMI99178	1227466	1227922
NMI99178	1228639	1230497
NMI99178	1232885	1234471
NMI0414	12338	13293
NMI0414	82344	84087
NMI0414	188758	193265
NMI0414	294005	294467
NMI0414	333777	336627
NMI0414	337600	342157
NMI0414	399959	402856
NMI0414	430841	431276
NMI0414	433330	435136
NMI0414	436817	440375
NMI0414	440957	441035
NMI0414	475150	481224
NMI0414	481836	481842
NMI0414	482666	484420
NMI0414	485949	486099
NMI0414	492214	501162
NMI0414	503196	503331
NMI0414	1187582	1192066
NMI0414	1337473	1340038
NMI01141	1273654	1274481
NMI01141	1333706	1334410
NMI9483	338384	338460
NMI9483	339263	339635
NMI9483	705771	707830
NMI9483	1241925	1244886
NMI9483	1330692	1330776
NMI9483	1331571	1331922
NMI9483	1332564	1334499
NMI9483	1401333	1404261
NMI9483	1488477	1489057
NMI03195	1436544	1436549
NMI0559	1436544	1436549
NMI0293	1436544	1436549
NMI057	50236	51096
NMI057	190480	191698
NMI057	294608	295455
NMI057	721961	727114
NMI057	727742	729947
NMI057	730758	732078
NMI057	815372	816967
NMI057	819907	822630
NMI057	1390174	1391759
NMI057	1436545	1436547
NMI9637	1436544	1436549
NMI0151	1436544	1436549
NMI111	28681	29063
NMI111	113871	114594
NMI111	199570	200386
NMI111	202780	203864
NMI111	204435	204944
NMI111	229257	229595
NMI111	230260	230633
NMI111	248510	250168
NMI111	375133	375355
NMI111	404019	404349
NMI111	426671	432688
NMI111	434120	437716
NMI111	475150	475831
NMI111	484996	486099
NMI111	610093	610532
NMI111	657033	662286
NMI111	813815	814396
NMI111	853913	856574
NMI111	984566	984891
NMI111	1271114	1272534
NMI111	1339663	1340392
NMI111	1372020	1372534
NMI111	1373724	1373796
NMI111	1375879	1376854
NMI111	1461144	1462244
NMI111	1480450	1481224
NMI98222	1436544	1436549
NMI9888	39435	39824
NMI9888	44926	47273
NMI9888	48273	49963
NMI9888	51012	53537
NMI9888	55228	55955
NMI9888	490130	490572
NMI9888	491281	494186
NMI9888	552696	553113
NMI9888	553982	555021
NMI9888	606980	610155
NMI9888	968965	969871
NMI9888	1150432	1152345
NMI9888	1153045	1153981
NMI9888	1261449	1263422
NMI9888	1264953	1268470
NMI9888	1348991	1351882
NMI99163	1436544	1436549
NMI00129	294424	295455
NMI00129	612913	614968
NMI00129	1436544	1436549
NMI95207	817783	818224
NMI95207	1340351	1341036
NMI0374	60883	63018
NMI0374	115245	119025
NMI0374	207515	210091
NMI0374	346344	349188
NMI0374	379859	380446
NMI0374	572464	572542
NMI0374	621797	622157
NMI0374	966164	968341
NMI0374	969001	969871
NMI0374	971252	973210
NMI0374	1333352	1334545
NMI0374	1425747	1426511
NMI0374	1488744	1488815
NMI0374	1491399	1491494
NMI0553	631898	631985
NMI0553	705744	707362
NMI03151	814877	814893
NMI03151	815597	820783
NMI03151	865247	865805
NMI03151	1018796	1022780
NMI03151	1023666	1030009
NMI03151	1149782	1151827
NMI03151	1406787	1408711
NMI03151	1409635	1413956
NMI03151	1415289	1416225
NMI03151	1417806	1418458
NMI03151	1419641	1419662
NMI03151	1420236	1420477
NMI0339	149788	150286
NMI0339	151648	152938
NMI0339	154219	154668
NMI0339	155310	156575
NMI0339	158147	158162
NMI0339	231729	231770
NMI0339	1334695	1334938
NMI0339	1336770	1340209
NMI0339	1341028	1341102
NMI0339	1341912	1342509
NMI94129	355042	355753
NMI0086	1333619	1334538
NMI03131	1400730	1404890
NMI03131	1405828	1406512
NMI03131	1407699	1408711
NMI03131	1409635	1409904
NMI03131	1436544	1436549
NMI99252	475831	477166
NMI99252	708552	711240
NMI01305	1332564	1334713
NMI01305	1436545	1436549
NMI0579	486454	490474
NMI0579	491656	492776
NMI0579	493669	494604
NMI0579	538917	542919
NMI0579	578077	579266
NMI0579	846013	847871
NMI0579	1087248	1087581
NMI0579	1157313	1158915
NMI0579	1205522	1207083
NMI0579	1208490	1210541
NMI0579	1330044	1330776
NMI0579	1331571	1331922
NMI0579	1332564	1334729
NMI0579	1436544	1436549
NMI03234	17909	18827
NMI03234	105292	105979
NMI03234	447422	448152
NMI03234	451943	455440
NMI03234	634635	636035
NMI03234	912494	912512
NMI03234	1224843	1225276
NMI03234	1226176	1226425
NMI03234	1227499	1229530
NMI03234	1230263	1230821
NMI03234	1354937	1355378
NMI03234	1356648	1357491
NMI03234	1358256	1359194
NMI03234	1360695	1361020
NMI03234	1362762	1363336
NMI94130	224646	227906
NMI94130	229134	230677
NMI94130	231628	232438
NMI94130	627063	628521
NMI94130	629457	630114
NMI94130	631008	631014
NMI94130	631981	634254
NMI94130	806875	807624
NMI94130	808445	808894
NMI94130	810002	810102
NMI94130	811004	814893
NMI04202	18824	20784
NMI04202	25756	25759
NMI04202	27427	29063
NMI04202	29601	30578
NMI04202	31538	32664
NMI04202	108921	110043
NMI04202	110687	110985
NMI04202	111647	116287
NMI04202	119816	123136
NMI04202	124175	125891
NMI04202	374598	374660
NMI04202	390982	391183
NMI04202	391942	393179
NMI04202	450059	450063
NMI04202	472220	474396
NMI04202	518357	519020
NMI04202	570971	574136
NMI04202	607349	607812
NMI04202	876241	876907
NMI04202	989095	992467
NMI04202	993135	998734
NMI04202	1197322	1198420
NMI04202	1199139	1199406
NMI04202	1200143	1200189
NMI04202	1201111	1201188
NMI04202	1201963	1202673
NMI04202	1274714	1275888
NMI04202	1334695	1334938
NMI04202	1363801	1363948
NMI04202	1367612	1372534
NMI04202	1373724	1373796
NMI04202	1375879	1376854
NMI04202	1377847	1378362
NMI04202	1422755	1424183
NMI04202	1425155	1425906
NMI04202	1430682	1431462
NMI04202	1432067	1434382
NMI04202	1480450	1481224
NMI04202	1481843	1485252
NMI04202	1486051	1486844
NMI04202	1517280	1520621
NMI9160	412583	413084
NMI92100	25756	28753
NMI92100	29332	31006
NMI92100	163325	165060
NMI92100	171021	173296
NMI92100	1026932	1028682
NMI92100	1454693	1455941
NMI99153	1273672	1275879
NMI99153	1461050	1461589
NMI00189	1436544	1436549
NMI02130	1436544	1436549
NMI93131	1436545	1436549
NMI0091	247051	247656
NMI0091	792367	793789
NMI0091	1436544	1436549
NMI02278	686054	687087
NMI02278	687912	690682
NMI02278	691312	693867
NMI02278	1329851	1331977
NMI02278	1332564	1334538
NMI02278	1477251	1480522
NMI96141	1436544	1436549
NMI9571	1436544	1436549
NMI9527	1436544	1436549
NMI98254	1436544	1436549
NMI00139	265723	265914
NMI00139	267664	270839
NMI00139	271427	274859
NMI00139	276062	277611
NMI00139	1334747	1335992
NMI00139	1336770	1336968
NMI00139	1338923	1339023
NMI00139	1339663	1340392
NMI03185	5741	5791
NMI03185	63522	63560
NMI03185	64787	66461
NMI03185	336150	336162
NMI03185	337579	338513
NMI03185	507055	509489
NMI03185	758006	759638
NMI03185	760803	761865
NMI03185	814887	817057
NMI03185	1024724	1026457
NMI03185	1052124	1054432
NMI03185	1275423	1278002
NMI03185	1278559	1285963
NMI03185	1287713	1288727
NMI03185	1290281	1290410
NMI03185	1425155	1427478
NMI03185	1459484	1461589
NMI03185	1462715	1463078
NMI03185	1527618	1531887
NMI0930	366731	367249
NMI0930	370300	372010
NMI0930	1159492	1162960
NMI0930	1204981	1206580
NMI0930	1271258	1273095
NMI99287	4625	6742
NMI99287	8650	10693
NMI99287	12624	13457
NMI0258	704831	707899
NMI1156	1027151	1027940
NMI1156	1029182	1031116
NMI1156	1032654	1032870
NMI1156	1319992	1320634
NMI1156	1321305	1321445
NMI1156	1327403	1327448
NMI1156	1330044	1331922
NMI1156	1332808	1333636
NMI1156	1334236	1334499
NMI1156	1436544	1436549
NMI0570	1334920	1335430
NMI02113	261388	262344
NMI02113	1436544	1436549
NMI02205	1436544	1436549
NMI00279	272051	274108
NMI00279	576633	580724
NMI00279	581557	586227
NMI00279	1517116	1518075
NMI0380	66065	66461
NMI0380	336135	338807
NMI0298	51664	53537
NMI0298	55228	55710
NMI0298	108433	110043
NMI0298	110687	110985
NMI0298	294604	295350
NMI0298	375118	376289
NMI0298	399959	401000
NMI0298	431474	431744
NMI0298	432274	432688
NMI0298	433724	434054
NMI0298	473871	474427
NMI0298	535130	535940
NMI0298	538029	539229
NMI0298	688203	690046
NMI0298	691594	694575
NMI0298	723136	727114
NMI0298	727763	728623
NMI0298	733502	733538
NMI0298	758021	759232
NMI0298	1124758	1125421
NMI0298	1320166	1320634
NMI0298	1321305	1323186
NMI0298	1332941	1333094
NMI0298	1333912	1334938
NMI0298	1361246	1363126
NMI0298	1382099	1383664
NMI0298	1419057	1420339
NMI0298	1422404	1424459
NMI0298	1425155	1426854
NMI0298	1427391	1427517
NMI0298	1428225	1429420
NMI0298	1430427	1430783
NMI0298	1435612	1436549
NMI0298	1448029	1450315
NMI0298	1453062	1453496
NMI0298	1454075	1458403
NMI0298	1460396	1460854
NMI0298	1463827	1463940
NMI0298	1465227	1465878
NMI0298	1467735	1468185
NMI98250	1436544	1436549
NMI9433	13392	13534
NMI9433	375552	375596
NMI01226	355042	356560
NMI01226	357305	359380
NMI01226	461838	461931
NMI01226	463282	463932
NMI01226	660702	661723
NMI01226	1436544	1436549
NMI01226	1457095	1459213
NMI02135	674307	674429
NMI02135	675042	675198
NMI02135	677184	678804
NMI02135	1295694	1296238
NMI02135	1436544	1436549
NMI00148	1436544	1436549
NMI01283	131847	132770
19MI0104	24576	25759
19MI0104	27427	29063
19MI0104	30143	30407
19MI0104	198328	200883
19MI0104	706837	707803
19MI0104	756133	757747
19MI0104	1333273	1334538
NMI1125	41742	41940
NMI1125	1436544	1436549
NMI1165	79923	81033
NMI1165	353508	354390
NMI1165	355019	355226
NMI1165	631980	636035
NMI1165	637580	637721
NMI1165	638530	639487
NMI1165	691312	691757
NMI1165	692351	693734
NMI1165	1125928	1126484
NMI1165	1284601	1284607
NMI1165	1289861	1290410
NMI1165	1291821	1292317
NMI1165	1293083	1295894
NMI1165	1296537	1296952
NMI1165	1297789	1299729
NMI1165	1300574	1300769
NMI1165	1436545	1436549
NMI0489	3829	4144
NMI0489	4968	6235
NMI0489	91599	93964
NMI0489	202789	203864
NMI0489	204867	205330
NMI0489	249382	251586
NMI0489	252527	255366
NMI0489	417161	419066
NMI0489	438703	440207
NMI0489	461832	462118
NMI0489	473889	477166
NMI0489	594546	597436
NMI0489	706032	708935
NMI0489	717614	719868
NMI0489	725442	725753
NMI0489	727230	729332
NMI0489	731568	732354
NMI0489	732954	733143
NMI0489	800589	801793
NMI0489	873029	876966
NMI0489	899973	900174
NMI0489	900843	904515
NMI0489	977221	978274
NMI0489	1074102	1076318
NMI0489	1145195	1147051
NMI0489	1147904	1151073
NMI0489	1153274	1155304
NMI0489	1280720	1280939
NMI0557	13792	15748
NMI0557	29568	29664
NMI0557	43430	43813
NMI0557	67827	67980
NMI0557	140785	141743
NMI0557	182094	182184
NMI0557	183054	183646
NMI0557	259421	260552
NMI0557	261388	263032
NMI0557	265723	265914
NMI0557	282665	284435
NMI0557	287722	288327
NMI0557	289521	289590
NMI0557	291914	294467
NMI0557	336144	341646
NMI0557	431663	432688
NMI0557	433670	434470
NMI0557	435379	437259
NMI0557	438256	440207
NMI0557	440957	441432
NMI0557	456613	457102
NMI0557	494161	498019
NMI0557	693461	693706
NMI0557	694278	694561
NMI0557	735898	739327
NMI0557	762724	764436
NMI0557	765252	766207
NMI0557	802468	803311
NMI0557	804112	806121
NMI0557	816696	817749
NMI0557	846995	847722
NMI0557	1096751	1096921
NMI0557	1097485	1098400
NMI0557	1099673	1099767
NMI0557	1100349	1102427
NMI0557	1103433	1104517
NMI0557	1106869	1107841
NMI0557	1108440	1108635
NMI0557	1109792	1112700
NMI0557	1120904	1121621
NMI0557	1127069	1128758
NMI0557	1143271	1143541
NMI0557	1144387	1145599
NMI0557	1146220	1146474
NMI0557	1224829	1226311
NMI0557	1337874	1339023
NMI0557	1339663	1340773
NMI0557	1362762	1364168
NMI0557	1364734	1366508
NMI0557	1421190	1423773
NMI0557	1425038	1427517
NMI0557	1430682	1431462
NMI0557	1432067	1433753
NMI0557	1456633	1457032
NMI0557	1458258	1459085
NMI0557	1474629	1474832
NMI0557	1477776	1478838
NMI0557	1518247	1520108
NMI03111	41940	42235
NMI03111	43624	43813
NMI03111	117641	117944
NMI03111	118532	118598
NMI03111	562986	565362
NMI03111	752371	752793
NMI03111	1094980	1095971
NMI03111	1096613	1098400
NMI03111	1099673	1099767
NMI03111	1101974	1102427
NMI03111	1103433	1106404
NMI03250	165456	166259
NMI03250	398047	398589
NMI03250	473607	473691
NMI03250	489356	490460
NMI03250	491718	491924
NMI03250	528376	528616
NMI03250	529883	531500
NMI03250	554802	555703
NMI03250	558621	560471
NMI03250	561190	564546
NMI03250	672751	674450
NMI03250	683617	683817
NMI03250	711198	714772
NMI03250	755062	755293
NMI03250	755858	760950
NMI03250	762710	763851
NMI03250	914150	920982
NMI03250	921836	924830
NMI03250	929868	932577
NMI03250	934511	934703
NMI03250	936264	936861
NMI03250	939516	943307
NMI03250	1075210	1076932
NMI03250	1079398	1080160
NMI03250	1131290	1132618
NMI03250	1157568	1158918
NMI03250	1159492	1160182
NMI03250	1268846	1269545
NMI03250	1280134	1286405
NMI03250	1287948	1288971
NMI03250	1373849	1374379
NMI03250	1376014	1376254
NMI03250	1380211	1381426
NMI03250	1383006	1386817
NMI03250	1388578	1389934
NMI03250	1390844	1390865
NMI03250	1397126	1398676
NMI9965	1436544	1436549
NMI96246	9072	12312
NMI96246	13392	13534
NMI96246	363981	364629
NMI96246	756133	757747
NMI96246	1092422	1095950
NMI96246	1339663	1340017
NMI96246	1479337	1481224
NMI96326	172937	173132
NMI96326	231427	234031
NMI96326	364278	365781
NMI96326	551050	552909
NMI96326	692237	694364
NMI96326	705068	706521
NMI96326	707640	707722
NMI96326	717672	719461
NMI96326	721413	722539
NMI96326	846723	847881
NMI96326	885085	886325
NMI96326	887938	888100
NMI96326	1269107	1274493
NMI96326	1275329	1278145
NMI96326	1279252	1279759
NMI96326	1436544	1436549
NMI00298	1436544	1436549
NMI94149	434425	435256
NMI94149	436774	437243
NMI94149	439274	439855
NMI94149	440957	441035
16MI0015	169117	172272
16MI0015	224887	225295
16MI0015	615338	618125
16MI0015	740391	743549
16MI0015	1044436	1045597
16MI0015	1256021	1256668
16MI0015	1454693	1456959
16MI0015	1502942	1503539
NMI97135	1436544	1436549
NMI0723	200671	200947
NMI0723	335712	338339
NMI0723	705604	707913
NMI0723	1173376	1175121
NMI0723	1436544	1436549
NMI01129	26992	28879
NMI01129	116060	117457
NMI01129	1295983	1302603
NMI0477	1256605	1259110
NMI0477	1259703	1260616
NMI079	115358	117241
NMI079	335778	336753
NMI079	806850	809021
NMI079	923224	923882
NMI079	1273271	1274559
NMI079	1276544	1277134
NMI98300	115969	117457
NMI98300	169138	170762
NMI98300	285292	286650
NMI98300	303307	305301
NMI98300	364443	365280
NMI98300	374660	375325
NMI98300	577316	584493
NMI98300	903181	904996
NMI98300	1198564	1199952
NMI98300	1273837	1274148
NMI98300	1276562	1277231
NMI98300	1334687	1334831
NMI98300	1436544	1436549
NMI98270	115576	115969
NMI98270	116794	121650
NMI98270	1392611	1393587
NMI98270	1395388	1395724
NMI98270	1397194	1398514
NMI98270	1399716	1400583
NMI98270	1411231	1413916
NMI98270	1415289	1416225
NMI98270	1417900	1419746
NMI98270	1420819	1424183
NMI98270	1425155	1426511
NMI98270	1428739	1429146
NMI98270	1429995	1431528
NMI98270	1432499	1433093
NMI97270	371101	372091
NMI97270	475429	476401
NMI97270	479375	479856
NMI99262	1436544	1436549
NMI073	1195186	1195972
NMI073	1197322	1198420
NMI073	1199139	1199406
NMI073	1200143	1200189
NMI073	1201111	1201188
NMI0046	334134	335045
NMI0046	434120	437243
NMI0046	438380	439027
NMI0046	707971	709826
NMI0046	861992	865856
NMI0046	1401995	1405628
NMI0046	1516726	1517136
NMI0046	1518956	1519415
NMI0370	687637	688326
NMI0370	1099673	1099767
NMI0370	1361144	1361427
NMI0370	1425038	1427517
NMI0370	1436544	1436549
NMI0370	1476320	1476752
NMI0370	1477400	1486356
NMI0690	39435	39531
NMI0690	40926	40966
NMI0690	45056	45350
NMI0690	486454	488654
NMI0690	534738	535691
NMI0690	671260	671710
NMI0690	688705	689209
NMI0690	701691	701771
NMI0690	706013	706521
NMI0690	1360695	1361736
NMI0690	1364986	1366337
NMI0690	1367120	1372534
NMI0690	1373391	1375249
NMI0690	1436544	1436549
NMI0690	1507712	1510166
NMI00294	1436544	1436549
NMI9816	1436544	1436549
NMI04103	14133	16206
NMI04103	39435	39531
NMI04103	44698	46190
NMI04103	375118	375166
NMI04103	713706	717698
NMI04103	760803	761316
NMI04103	969725	969871
NMI04103	970776	971348
NMI04103	1099968	1102427
NMI04103	1120904	1121621
NMI04103	1415289	1416225
NMI04103	1420819	1422812
NMI04103	1454281	1454750
NMI0043	475150	476980
NMI0623	28673	29447
NMI0623	87978	88175
NMI0623	90810	91289
NMI0623	354049	354272
NMI0623	355043	358436
NMI0623	359278	360098
NMI0623	443337	444678
NMI0623	445314	447215
NMI0623	505326	505398
NMI0623	505989	508165
NMI0623	508957	508963
NMI0623	665235	665817
NMI0623	1131914	1132865
NMI1180	41937	42047
NMI1180	197555	201172
NMI1180	316288	317985
NMI1180	1194470	1195972
NMI1180	1197891	1197926
NMI1180	1199010	1202673
NMI1180	1219754	1220945
NMI1180	1221537	1221753
NMI1180	1222356	1223907
NMI1180	1436544	1436549
NMI0429	118310	118670
NMI0429	133292	135347
NMI0429	205486	205498
NMI0429	244471	247710
NMI0429	289165	290321
NMI0429	331139	332657
NMI0429	421356	421586
NMI0429	428375	433342
NMI0429	466155	468274
NMI0429	635468	639253
NMI0429	775686	779456
NMI0429	788757	790640
NMI0429	816108	818185
NMI0429	828523	828529
NMI0429	858947	862880
NMI0429	1076464	1076870
NMI0429	1077802	1078181
NMI0429	1085068	1086087
NMI0429	1155504	1159251
NMI0429	1194377	1195068
NMI0429	1205764	1208243
NMI0429	1332658	1334695
NMI0429	1364027	1364740
NMI0429	1375168	1377439
NMI0429	1381445	1383063
NMI0429	1400747	1403167
NMI0429	1448568	1449316
NMI0429	1450429	1450558
NMI0429	1461694	1466241
NMI0429	1478598	1478676
NMI0429	1519543	1523758
NMI084	1436544	1436549
NMI0359	246343	247656
NMI0359	375312	375355
NMI0359	437510	440207
NMI0359	440957	441035
NMI0359	582856	585846
NMI0359	587326	587784
NMI0359	595259	595485
NMI0359	599868	599992
NMI0359	601739	602693
NMI0359	608359	609059
NMI0359	687546	689491
NMI0359	870612	870833
NMI0359	1045539	1046120
NMI0359	1273271	1273535
NMI0359	1334695	1335346
NMI0359	1492868	1494237
NMI0530	183910	184237
NMI0530	800709	801826
NMI0530	1055007	1055885
NMI0530	1248728	1250089
NMI0530	1363773	1364168
NMI0530	1410657	1412553
NMI0530	1519847	1522512
NMI9769	1436544	1436549
NMI01348	1399146	1400583
NMI01348	1436545	1436547
NMI00162	475759	476422
NMI00162	1100050	1102427
NMI00162	1103112	1105277
NMI00162	1106490	1106679
NMI00162	1436544	1436549
NMI0830	1208059	1210178
NMI0830	1400730	1402810
NMI0830	1415289	1416225
NMI0830	1417900	1419746
NMI0830	1420819	1424183
NMI0830	1425155	1426511
NMI0830	1428739	1429146
NMI0830	1429995	1431528
NMI0450	32978	35706
NMI0450	438289	440453
NMI0450	813188	814127
NMI0450	905512	908670
NMI98156	758009	759130
NMI98156	1334687	1334831
NMI98156	1335750	1337040
NMI98156	1436544	1436615
NMI98156	1449662	1450321
NMI1119	25368	26718
NMI1119	67534	71130
NMI1119	245446	249478
NMI1119	334344	336672
NMI1119	398302	398946
NMI1119	400928	401337
NMI1119	433925	437716
NMI1119	438289	439520
NMI1119	440957	441035
NMI1119	456803	458548
NMI1119	459120	459586
NMI1119	460156	465378
NMI1119	525279	530126
NMI1119	704853	706446
NMI1119	869293	869666
NMI1119	870670	871432
NMI1119	969725	970545
NMI1119	971100	976317
NMI1119	976901	978947
NMI1119	984230	985860
NMI1119	1407338	1410922
NMI1119	1460505	1461602
NMI0341	417494	426489
NMI0341	550492	554270
NMI0341	1208126	1209165
NMI0341	1420262	1422014
NMI0341	1446345	1446727
NMI0341	1457274	1459213
NMI03197	1385429	1386817
NMI03197	1389682	1390339
NMI99181	329543	329640
NMI99181	361817	362401
NMI99181	1457619	1459090
NMI9363	1436544	1436549
NMI01220	285020	286443
NMI01220	287422	287806
NMI01220	1384382	1386817
NMI01220	1387784	1388119
NMI01220	1389670	1390027
NMI01220	1436544	1436549
NMI01220	1439153	1439197
NMI01220	1439942	1441603
NMI01332	43855	47846
NMI01332	292744	292843
NMI01332	295551	295935
NMI01332	296587	297492
NMI01332	912348	916955
NMI01332	1261513	1262077
NMI01332	1436544	1436549
NMI01332	1529812	1530303
NMI00127	1458145	1459991
NMI00127	1522674	1524737
NMI01349	245854	247656
NMI01349	279195	280591
NMI01349	464860	465529
NMI01349	466218	468388
NMI01349	1095385	1098545
NMI01349	1099626	1099723
NMI01349	1100790	1102427
NMI01349	1103131	1107460
NMI01349	1108440	1109125
NMI01349	1109792	1112928
NMI01349	1160677	1161046
NMI01349	1162054	1164045
NMI01349	1164670	1167020
NMI01349	1168047	1170042
NMI01349	1273866	1274505
NMI01349	1406158	1408711
NMI01349	1436544	1436549
NMI02111	308342	309327
NMI02111	310654	314370
NMI02111	396467	396902
NMI0434	61507	64009
NMI0434	64930	65004
NMI0434	473727	473892
NMI0434	475150	476647
NMI0434	508948	510709
NMI0434	511521	512290
NMI0434	804876	805542
NMI0434	1457101	1459213
NMI97380	691544	693867
NMI9956	1360872	1363580
NMI0119	335623	336026
