Parameter	Posterior Mean	Posterior Variance	a_post	b_post
NMI97132	6.20351e-07	3.84825e-13	1.00003	1.61204e+06
NMI97190	2.80291e-06	1.73921e-12	4.51717	1.6116e+06
NMI0019	4.90003e-06	3.05132e-12	7.86883	1.60587e+06
NMI9665	1.82382e-06	1.12981e-12	2.94416	1.61428e+06
NMI02282	6.99077e-06	4.34926e-12	11.2366	1.60735e+06
NMI96196	1.82361e-06	1.12968e-12	2.94381	1.61428e+06
NMI0396	3.04484e-06	1.89364e-12	4.89587	1.60792e+06
NMI0381	1.06853e-05	6.74894e-12	16.9177	1.58326e+06
NMI99141	6.28633e-06	3.89967e-12	10.1337	1.61202e+06
NMI01213	1.38291e-05	8.60591e-12	22.2224	1.60693e+06
19MI0107	5.79466e-06	3.60783e-12	9.30701	1.60614e+06
NMI03180	1.22153e-06	7.56703e-13	1.97189	1.61428e+06
NMI0172	1.82403e-06	1.12994e-12	2.9445	1.61428e+06
NMI94105	2.42597e-06	1.50282e-12	3.91619	1.61428e+06
16MI0044	3.028e-06	1.87577e-12	4.88802	1.61427e+06
NMI0769	5.92554e-06	3.70567e-12	9.47523	1.59905e+06
NMI0273	1.14557e-05	7.09669e-12	18.4922	1.61424e+06
NMI9158	1.2215e-06	7.56681e-13	1.97184	1.61428e+06
NMI03153	3.0277e-06	1.87558e-12	4.88753	1.61427e+06
NMI0257	4.94807e-06	3.08023e-12	7.94856	1.6064e+06
NMI9540	9.84334e-06	6.14682e-12	15.7628	1.60137e+06
NMI02252	3.02733e-06	1.87535e-12	4.88693	1.61427e+06
NMI96280	7.75344e-06	4.82289e-12	12.4647	1.60763e+06
NMI98274	4.23195e-06	2.62159e-12	6.8315	1.61427e+06
NMI98287	3.02694e-06	1.87511e-12	4.88631	1.61427e+06
NMI9577	4.23592e-06	2.62676e-12	6.83086	1.6126e+06
NMI96305	1.22116e-06	7.56472e-13	1.97129	1.61428e+06
NMI017	1.22159e-06	7.56739e-13	1.97199	1.61428e+06
NMI03259	1.82341e-06	1.12955e-12	2.9435	1.61428e+06
NMI03144	2.42525e-06	1.50237e-12	3.91501	1.61428e+06
NMI0194	1.83173e-06	1.13983e-12	2.94364	1.60703e+06
NMI01272	6.20249e-06	3.86965e-12	9.94171	1.60286e+06
NMI03102	1.35267e-05	8.40764e-12	21.7625	1.60886e+06
NMI93162	1.82775e-06	1.13457e-12	2.94444	1.61097e+06
NMI96295	1.8235e-06	1.12961e-12	2.94364	1.61428e+06
NMI0683	4.23265e-06	2.62254e-12	6.83127	1.61395e+06
NMI93110	2.43158e-06	1.50713e-12	3.92306	1.61338e+06
NMI04162	1.22149e-06	7.56678e-13	1.97183	1.61428e+06
NMI06130	4.84449e-06	3.00349e-12	7.81394	1.61295e+06
NMI9366	4.23163e-06	2.6214e-12	6.83099	1.61427e+06
NMI01161	6.69997e-06	4.17534e-12	10.7511	1.60465e+06
NMI108	1.47798e-05	9.28807e-12	23.5188	1.59127e+06
NMI99114	3.62912e-06	2.24815e-12	5.85838	1.61427e+06
NMI01193	1.24922e-05	7.84963e-12	19.8806	1.59144e+06
NMI00227	8.72622e-06	5.43245e-12	14.0171	1.60631e+06
NMI02208	1.298e-05	8.22894e-12	20.474	1.57736e+06
NMI03179	6.35119e-05	4.08586e-11	98.7247	1.55443e+06
NMI1328	1.22115e-06	7.56469e-13	1.97128	1.61428e+06
NMI97389	6.2335e-07	3.87534e-13	1.00266	1.6085e+06
NMI99205	1.8237e-06	1.12973e-12	2.94395	1.61428e+06
NMI03163	2.35599e-05	1.45963e-11	38.0278	1.61409e+06
NMI941	1.82819e-06	1.13413e-12	2.947	1.61198e+06
NMI9949	1.42479e-05	8.92652e-12	22.7416	1.59613e+06
NMI97134	4.8027e-06	2.98848e-12	7.71828	1.60707e+06
NMI95162	4.23238e-06	2.62186e-12	6.83219	1.61427e+06
NMI96218	7.54208e-06	4.6881e-12	12.1335	1.60877e+06
NMI00285	4.8886e-06	3.03409e-12	7.87662	1.61122e+06
NMI98216	1.82381e-06	1.1298e-12	2.94414	1.61428e+06
NMI0225	6.20574e-07	3.85043e-13	1.00018	1.6117e+06
NMI1023	1.51244e-05	9.44412e-12	24.2212	1.60146e+06
NMI97262	1.22152e-06	7.56699e-13	1.97188	1.61428e+06
NMI97277	1.82341e-06	1.12955e-12	2.94349	1.61428e+06
NMI9861	3.02794e-06	1.87573e-12	4.88793	1.61427e+06
NMI04186	4.32207e-06	2.68965e-12	6.94525	1.60693e+06
NMI037	3.02757e-06	1.8755e-12	4.88733	1.61427e+06
NMI9440	2.40616e-05	1.49837e-11	38.6394	1.60585e+06
NMI98277	1.02534e-05	6.35186e-12	16.5515	1.61424e+06
NMI94178	2.42534e-06	1.50243e-12	3.91517	1.61428e+06
NMI9239	6.03826e-06	3.74058e-12	9.74732	1.61426e+06
NMI02187	6.03854e-06	3.74075e-12	9.74777	1.61426e+06
NMI1142	6.37145e-07	3.95575e-13	1.02624	1.61068e+06
NMI0437	3.09283e-05	1.96286e-11	48.7329	1.57567e+06
NMI1116	1.9246e-05	1.20371e-11	30.7721	1.59889e+06
NMI96160	4.8925e-06	3.04765e-12	7.8541	1.60534e+06
NMI9450	2.42584e-06	1.50274e-12	3.91597	1.61428e+06
NMI9215	4.83356e-06	2.99428e-12	7.80265	1.61426e+06
NMI99214	1.82342e-06	1.12956e-12	2.94351	1.61428e+06
NMI93189	3.63298e-06	2.25126e-12	5.86271	1.61375e+06
NMI01134	2.19841e-05	1.41793e-11	34.085	1.55044e+06
NMI95251	1.22277e-06	7.58127e-13	1.9722	1.61289e+06
NMI9476	1.82543e-06	1.13171e-12	2.94439	1.61299e+06
NMI9919	2.43256e-06	1.5097e-12	3.91955	1.61128e+06
NMI9677	6.64036e-06	4.11357e-12	10.7193	1.61426e+06
NMI9725	3.6303e-06	2.24888e-12	5.86028	1.61427e+06
NMI92108	3.62974e-06	2.24853e-12	5.85938	1.61427e+06
NMI0717	5.51206e-05	3.65318e-11	83.168	1.50884e+06
NMI02209	2.42536e-06	1.50245e-12	3.9152	1.61428e+06
19MI0027	1.2661e-05	7.84339e-12	20.4378	1.61423e+06
NMI9441	1.82339e-06	1.12954e-12	2.94345	1.61428e+06
NMI03235	1.82403e-06	1.12994e-12	2.94449	1.61428e+06
NMI0464	4.84283e-06	3.00464e-12	7.8056	1.61179e+06
19MI0084	7.04483e-06	4.39896e-12	11.2821	1.60148e+06
NMI96108	4.56533e-06	2.82969e-12	7.36555	1.61337e+06
NMI02247	3.73434e-05	2.48062e-11	56.2169	1.50541e+06
NMI955	1.82313e-06	1.12938e-12	2.94303	1.61428e+06
NMI96312	3.02758e-06	1.87551e-12	4.88734	1.61427e+06
NMI97401	3.37842e-06	2.09742e-12	5.44179	1.61075e+06
NMI0453	9.12087e-06	5.65906e-12	14.7004	1.61173e+06
NMI99111	3.02804e-06	1.87579e-12	4.88808	1.61427e+06
NMI0564	1.22148e-06	7.56672e-13	1.97181	1.61428e+06
NMI98249	1.21416e-05	7.59754e-12	19.4035	1.5981e+06
NMI055	1.82489e-06	1.13147e-12	2.94327	1.61285e+06
NMI96302	3.02683e-06	1.87504e-12	4.88613	1.61427e+06
NMI99156	2.4255e-06	1.50253e-12	3.91543	1.61428e+06
NMI0552	1.47955e-05	9.43023e-12	23.2133	1.56894e+06
NMI1220	1.82364e-05	1.13835e-11	29.2149	1.60201e+06
NMI0514	1.45933e-05	9.29412e-12	22.914	1.57017e+06
NMI97303	1.22133e-06	7.56578e-13	1.97157	1.61428e+06
NMI01201	1.22145e-06	7.5665e-13	1.97176	1.61428e+06
NMI0953	1.54733e-05	9.70385e-12	24.673	1.59455e+06
NMI95114	1.82344e-06	1.12957e-12	2.94354	1.61428e+06
NMI01147	1.82295e-06	1.12927e-12	2.94275	1.61428e+06
NMI9982	3.03302e-06	1.88202e-12	4.88795	1.61158e+06
NMI97297	1.82372e-06	1.12974e-12	2.94399	1.61428e+06
NMI01367	1.22188e-06	7.56922e-13	1.97246	1.61428e+06
NMI96331	3.62937e-06	2.2483e-12	5.85878	1.61427e+06
17MI0020	5.70785e-06	3.55909e-12	9.1539	1.60374e+06
NMI02115	2.4534e-06	1.52302e-12	3.95213	1.61088e+06
NMI9661	2.42537e-06	1.50245e-12	3.91522	1.61428e+06
NMI96116	1.22146e-06	7.56656e-13	1.97177	1.61428e+06
NMI0242	6.55647e-06	4.09346e-12	10.5015	1.6017e+06
NMI95120	1.22125e-06	7.5653e-13	1.97144	1.61428e+06
NMI0213	2.42549e-06	1.50253e-12	3.91541	1.61428e+06
NMI93101	2.42577e-06	1.5027e-12	3.91586	1.61428e+06
17MI0064	8.804e-06	5.47858e-12	14.1479	1.60698e+06
NMI9785	2.51302e-06	1.56626e-12	4.03206	1.60447e+06
NMI95103	2.47927e-06	1.53988e-12	3.99175	1.61005e+06
NMI99175	1.2803e-06	7.96258e-13	2.05858	1.60789e+06
NMI95222	2.42534e-06	1.50243e-12	3.91516	1.61428e+06
NMI95127	1.2217e-06	7.56809e-13	1.97217	1.61428e+06
NMI0052	1.82381e-06	1.1298e-12	2.94413	1.61428e+06
NMI0234	1.22113e-06	7.56452e-13	1.97124	1.61428e+06
NMI93121	2.27856e-06	1.41486e-12	3.6695	1.61045e+06
NMI9974	1.22127e-06	7.56541e-13	1.97147	1.61428e+06
NMI00178	1.8236e-06	1.12967e-12	2.9438	1.61428e+06
NMI01228	2.41143e-06	1.49668e-12	3.88527	1.61119e+06
NMI92118	6.23739e-07	3.87096e-13	1.00505	1.61133e+06
NMI95263	3.76442e-06	2.36631e-12	5.98859	1.59084e+06
NMI99219	3.63767e-06	2.25845e-12	5.85918	1.61069e+06
NMI96180	1.22137e-06	7.56603e-13	1.97163	1.61428e+06
NMI04195	1.14559e-05	7.0968e-12	18.4925	1.61424e+06
NMI9786	1.22167e-06	7.56791e-13	1.97212	1.61428e+06
NMI02199	1.82363e-06	1.12969e-12	2.94385	1.61428e+06
NMI01103	1.06484e-05	6.67821e-12	16.979	1.59451e+06
NMI01342	9.22263e-06	5.76389e-12	14.7569	1.60007e+06
NMI038	5.44747e-06	3.38012e-12	8.77926	1.61162e+06
NMI9495	3.64012e-06	2.26044e-12	5.86189	1.61036e+06
NMI95229	5.48967e-06	3.43101e-12	8.78354	1.60001e+06
NMI95201	2.43149e-06	1.51015e-12	3.91495	1.6101e+06
NMI01277	1.04833e-05	6.53413e-12	16.8193	1.60439e+06
NMI9853	1.22192e-06	7.57159e-13	1.97197	1.61382e+06
NMI04159	3.62997e-06	2.24943e-12	5.85779	1.61373e+06
NMI97249	1.82381e-06	1.1298e-12	2.94414	1.61428e+06
NMI0848	6.64001e-06	4.11336e-12	10.7187	1.61426e+06
NMI9642	1.22162e-06	7.5676e-13	1.97204	1.61428e+06
NMI03145	9.06581e-06	5.62496e-12	14.6115	1.61171e+06
NMI0725	2.81667e-05	1.82184e-11	43.5473	1.54605e+06
NMI99195	8.79226e-06	5.45498e-12	14.1712	1.61179e+06
NMI96199	6.24961e-07	3.87173e-13	1.00879	1.61417e+06
NMI99245	1.43708e-05	8.93204e-12	23.1214	1.60891e+06
NMI9918	1.38107e-05	8.75845e-12	21.7772	1.57684e+06
NMI00138	6.21422e-07	3.86051e-13	1.0003	1.60969e+06
NMI053	1.02519e-05	6.35094e-12	16.5491	1.61424e+06
NMI00282	1.32756e-05	8.22907e-12	21.4168	1.61325e+06
NMI0832	3.07774e-06	1.90674e-12	4.9679	1.61414e+06
NMI0291	6.26814e-07	3.88481e-13	1.01137	1.6135e+06
14MI0020	1.22356e-06	7.57991e-13	1.97508	1.61421e+06
NMI9322	3.63006e-06	2.24873e-12	5.8599	1.61427e+06
NMI1245	2.42605e-06	1.50287e-12	3.91631	1.61428e+06
NMI99234	1.22148e-06	7.56672e-13	1.97181	1.61428e+06
NMI03174	1.22161e-06	7.56754e-13	1.97203	1.61428e+06
NMI0923	1.82977e-06	1.13669e-12	2.94546	1.60974e+06
NMI9293	1.22132e-06	7.56575e-13	1.97156	1.61428e+06
NMI99296	2.44132e-06	1.51343e-12	3.93811	1.6131e+06
17MI0059	1.82295e-06	1.12926e-12	2.94274	1.61428e+06
NMI02283	4.83364e-06	2.99433e-12	7.80277	1.61426e+06
NMI0121	4.23171e-06	2.62144e-12	6.83111	1.61427e+06
NMI05119	1.82297e-06	1.12928e-12	2.94278	1.61428e+06
NMI95272	1.22184e-06	7.56892e-13	1.97239	1.61428e+06
NMI9491	2.42548e-06	1.50252e-12	3.91539	1.61428e+06
18MI0035	4.8341e-06	2.99461e-12	7.80351	1.61426e+06
NMI98211	6.05411e-06	3.766e-12	9.73241	1.60757e+06
NMI9749	1.22166e-06	7.56784e-13	1.9721	1.61428e+06
NMI95219	1.22139e-06	7.56613e-13	1.97166	1.61428e+06
NMI9720	2.60097e-06	1.61458e-12	4.18996	1.61092e+06
NMI023	3.66621e-06	2.27785e-12	5.90079	1.60951e+06
NMI01174	9.07138e-06	5.78314e-12	14.2293	1.56859e+06
16MI0026	1.33303e-05	8.29616e-12	21.4193	1.60681e+06
NMI02145	6.73144e-06	4.20499e-12	10.7758	1.60082e+06
NMI01293	6.41721e-06	3.97669e-12	10.3555	1.61371e+06
NMI993	6.55959e-06	4.08269e-12	10.5392	1.60668e+06
NMI02105	1.82374e-06	1.12976e-12	2.94402	1.61428e+06
NMI02134	1.22154e-06	7.5671e-13	1.97191	1.61428e+06
NMI03177	1.48174e-06	9.26295e-13	2.37025	1.59964e+06
NMI9475	3.02729e-06	1.87533e-12	4.88687	1.61427e+06
NMI9979	7.42773e-06	4.6379e-12	11.8957	1.60153e+06
NMI0156	1.27929e-05	8.02333e-12	20.398	1.59447e+06
NMI01138	1.22155e-06	7.56716e-13	1.97193	1.61428e+06
NMI92130	1.82335e-06	1.12952e-12	2.9434	1.61428e+06
NMI02142	7.58019e-06	4.73441e-12	12.1365	1.60108e+06
NMI95274	6.63965e-06	4.11313e-12	10.7181	1.61426e+06
NMI9818	2.42586e-06	1.50276e-12	3.91601	1.61428e+06
NMI0164	1.45088e-05	9.30599e-12	22.6205	1.55909e+06
NMI95262	1.2216e-06	7.56747e-13	1.97201	1.61428e+06
NMI0884	1.54145e-05	9.77659e-12	24.3036	1.57667e+06
NMI99187	4.91726e-06	3.04638e-12	7.93711	1.61413e+06
NMI01197	3.45149e-06	2.14014e-12	5.56638	1.61275e+06
NMI9776	4.84077e-06	3.00331e-12	7.8024	1.61181e+06
NMI04119	1.22639e-05	7.66143e-12	19.6311	1.60073e+06
NMI92124	1.82358e-06	1.12965e-12	2.94376	1.61428e+06
NMI02178	2.42589e-06	1.50278e-12	3.91606	1.61428e+06
NMI02131	5.84212e-06	3.65815e-12	9.32995	1.59702e+06
NMI9681	1.82347e-06	1.12959e-12	2.94359	1.61428e+06
NMI96204	2.44083e-06	1.51961e-12	3.92049	1.60622e+06
NMI04148	4.11529e-06	2.55054e-12	6.63998	1.61349e+06
NMI0657	1.2191e-05	7.61774e-12	19.5098	1.60034e+06
NMI0063	6.25695e-07	3.90495e-13	1.00256	1.60231e+06
NMI0478	4.23197e-06	2.6216e-12	6.83153	1.61427e+06
17MI0057	5.43652e-06	3.36795e-12	8.77557	1.61419e+06
NMI0326	4.7425e-05	3.13672e-11	71.7033	1.51193e+06
NMI9664	4.83552e-06	2.99591e-12	7.80472	1.61404e+06
NMI01353	4.23536e-06	2.62553e-12	6.83225	1.61314e+06
NMI00155	3.6298e-06	2.24857e-12	5.85948	1.61427e+06
NMI0651	6.28833e-07	3.91745e-13	1.00941	1.60521e+06
NMI02102	1.82302e-06	1.12931e-12	2.94287	1.61428e+06
NMI98301	2.4256e-06	1.5026e-12	3.91559	1.61428e+06
NMI98184	2.42587e-06	1.50276e-12	3.91602	1.61428e+06
16MI0017	6.20376e-07	3.84745e-13	1.00031	1.61243e+06
NMI94115	1.22164e-06	7.56768e-13	1.97206	1.61428e+06
NMI04111	9.25619e-06	5.7584e-12	14.8786	1.60742e+06
NMI9936	5.23595e-06	3.26984e-12	8.38425	1.60129e+06
NMI94213	1.80798e-05	1.12004e-11	29.1845	1.61421e+06
NMI00114	3.62907e-06	2.24812e-12	5.8583	1.61427e+06
NMI0289	5.46666e-06	3.39485e-12	8.80288	1.61028e+06
NMI9528	6.99602e-06	4.39808e-12	11.1286	1.5907e+06
NMI9945	2.47675e-06	1.53857e-12	3.987	1.60977e+06
NMI05149	4.51957e-05	2.80543e-11	72.8106	1.61101e+06
NMI9766	2.42521e-06	1.50235e-12	3.91495	1.61428e+06
NMI99124	1.82386e-06	1.12983e-12	2.94421	1.61428e+06
NMI0021	1.82363e-06	1.12969e-12	2.94385	1.61428e+06
NMI9576	5.98699e-06	3.72823e-12	9.61423	1.60585e+06
NMI99203	3.62942e-06	2.24833e-12	5.85886	1.61427e+06
NMI96127	3.63203e-06	2.25175e-12	5.8584	1.61298e+06
NMI9039	3.44954e-05	2.17928e-11	54.6022	1.58288e+06
NMI03203	1.04366e-05	6.64753e-12	16.3854	1.57e+06
NMI96287	2.42928e-06	1.50665e-12	3.91689	1.61237e+06
NMI00222	3.04034e-06	1.88352e-12	4.90765	1.61418e+06
NMI99129	9.83214e-06	6.10995e-12	15.8219	1.6092e+06
NMI98285	3.62997e-06	2.24868e-12	5.85976	1.61427e+06
NMI97363	1.56684e-05	9.70653e-12	25.2922	1.61422e+06
NMI9783	6.20107e-07	3.84408e-13	1.00033	1.61315e+06
NMI085	4.23194e-06	2.62159e-12	6.83149	1.61427e+06
NMI1149	1.22165e-06	7.56778e-13	1.97209	1.61428e+06
NMI0247	3.63007e-06	2.24874e-12	5.85991	1.61427e+06
NMI0220	6.29892e-06	3.90635e-12	10.1569	1.61248e+06
NMI05150	2.42554e-06	1.50255e-12	3.91548	1.61428e+06
NMI0044	4.575e-05	3.0439e-11	68.7626	1.50301e+06
NMI00190	9.33641e-06	5.91399e-12	14.7394	1.5787e+06
NMI92123	4.23789e-06	2.6263e-12	6.83842	1.61364e+06
NMI98218	1.82358e-06	1.12965e-12	2.94376	1.61428e+06
19MI0116	8.46224e-06	5.24303e-12	13.658	1.614e+06
NMI9499	4.83418e-06	2.99466e-12	7.80364	1.61426e+06
NMI97230	2.45647e-05	1.58002e-11	38.1908	1.5547e+06
NMI97155	1.82353e-06	1.12963e-12	2.94369	1.61428e+06
NMI01291	4.05526e-06	2.51291e-12	6.54427	1.61377e+06
NMI1117	1.09893e-05	6.80823e-12	17.738	1.61412e+06
NMI01365	6.35271e-06	3.99931e-12	10.091	1.58845e+06
NMI96273	1.82327e-06	1.12946e-12	2.94326	1.61428e+06
NMI97397	2.22107e-06	1.38435e-12	3.56353	1.60442e+06
NMI98197	2.42539e-06	1.50246e-12	3.91524	1.61428e+06
NMI01158	3.82434e-06	2.38918e-12	6.12157	1.60069e+06
NMI98153	4.26022e-06	2.65357e-12	6.83965	1.60547e+06
NMI97371	1.22646e-06	7.62797e-13	1.97195	1.60784e+06
NMI97283	1.01012e-05	6.33983e-12	16.094	1.59328e+06
NMI9210	1.22203e-06	7.57013e-13	1.9727	1.61428e+06
NMI01114	1.83068e-06	1.13771e-12	2.94575	1.6091e+06
NMI0835	1.36023e-05	8.55618e-12	21.6244	1.58976e+06
NMI0174	1.93612e-06	1.20636e-12	3.10733	1.60493e+06
NMI9686	9.1285e-06	5.66793e-12	14.7019	1.61055e+06
